RepRapFirmware height map file v2 generated at 2025-07-12 23:01, min error -0.332, max error 0.407, mean -0.027, deviation 0.160
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,35.00,375.00,35.00,375.00,-1.00,34.00,34.00,11,11
  0.164,  0.305,  0.045,  0.094,  0.136, -0.068, -0.241,  0.214, -0.047,  0.041,  0.031
  0.083, -0.135, -0.121, -0.205,  0.034,  0.122, -0.272, -0.054,  0.031,  0.076,  0.119
  0.105, -0.040, -0.022, -0.205, -0.230, -0.241,  0.017, -0.283, -0.001,  0.101,  0.101
  0.024,  0.013, -0.107, -0.057, -0.040, -0.188, -0.156, -0.068,  0.034,  0.083, -0.072
  0.228,  0.288,  0.013, -0.082, -0.262, -0.160,  0.013, -0.138, -0.068,  0.164,  0.098
  0.407,  0.083, -0.061, -0.029, -0.064, -0.131, -0.072,  0.038, -0.103, -0.036,  0.108
  0.358,  0.203, -0.064, -0.036, -0.230, -0.100, -0.131, -0.153, -0.050,  0.045,  0.242
  0.390,  0.126, -0.008, -0.121, -0.219, -0.191, -0.131, -0.234, -0.146,  0.108,  0.281
  0.115,  0.083, -0.040, -0.086, -0.079, -0.205, -0.174, -0.297, -0.117,  0.115,  0.034
  0.045,  0.108, -0.015, -0.293, -0.174, -0.286, -0.184, -0.181, -0.149, -0.072,  0.136
  0.013,  0.080, -0.191, -0.131, -0.241, -0.332, -0.100, -0.227, -0.191,  0.171,  0.362
